timestamp,age,gender,drink_preference,socials_preference,total_spend,weather,return_likelihood
08/06/2023,50,M,whiskey,Twitter,56.17,Cloudy,Yes
04/06/2023,38,M,whiskey,Facebook,65.42,Sunny,Yes
25/06/2023,42,M,whiskey,Twitter,65.32,Sunny,Yes
07/06/2023,47,M,whiskey,Facebook,74.04,Sunny,No
04/06/2023,25,F,cocktail,Twitter,31.45,Sunny,Yes
19/06/2023,44,M,whiskey,Facebook,72.7,Cloudy,No
25/06/2023,27,F,cocktail,TikTok,12.72,Sunny,Yes
16/06/2023,36,M,whiskey,Facebook,49.47,Cloudy,Yes
03/06/2023,45,M,whiskey,Facebook,55.79,Rainy,No
26/06/2023,42,M,whiskey,Facebook,73.47,Rainy,Yes
06/06/2023,59,F,wine,Instagram,60.37,Sunny,No
18/06/2023,42,M,whiskey,Facebook,70.77,Sunny,Yes
20/06/2023,72,F,wine,Facebook,50.56,Sunny,Yes
17/06/2023,43,M,whiskey,Facebook,62.79,Cloudy,Yes
02/06/2023,34,M,beer,TikTok,25.6,Cloudy,No
14/06/2023,46,M,whiskey,Facebook,53.2,Stormy,No
04/06/2023,43,M,whiskey,Facebook,73.36,Sunny,Yes
11/06/2023,41,M,whiskey,Twitter,86.9,Sunny,Yes
11/06/2023,44,M,whiskey,Facebook,85.35,Sunny,Yes
18/06/2023,51,M,wine,Twitter,64.5,Sunny,No
24/06/2023,40,M,whiskey,Twitter,62.86,Rainy,Yes
10/06/2023,64,F,wine,Instagram,39.48,Sunny,No
13/06/2023,47,M,whiskey,Facebook,77.1,Sunny,No
25/06/2023,56,F,cocktail,Facebook,50.14,Sunny,Yes
26/06/2023,23,M,beer,TikTok,26.48,Rainy,No
30/06/2023,41,M,whiskey,Facebook,71.19,Sunny,Yes
26/06/2023,21,M,cocktail,TikTok,23.14,Rainy,No
03/06/2023,49,M,whiskey,Facebook,63.93,Rainy,Yes
18/06/2023,58,M,whiskey,Facebook,55.6,Sunny,Yes
18/06/2023,26,F,cocktail,Twitter,34.04,Sunny,Yes
25/06/2023,43,M,whiskey,Facebook,53.8,Sunny,No
06/06/2023,48,M,whiskey,Facebook,80.31,Sunny,Yes
26/06/2023,38,M,whiskey,Facebook,86.49,Rainy,Yes
04/06/2023,30,F,beer,TikTok,28.02,Sunny,No
14/06/2023,70,F,wine,Instagram,52.9,Stormy,No
25/06/2023,44,M,whiskey,Facebook,58.42,Sunny,No
30/06/2023,47,M,whiskey,Facebook,71.03,Sunny,No
03/06/2023,45,M,beer,Facebook,69.75,Rainy,No
23/06/2023,18,M,wine,Twitter,15.19,Sunny,Yes
27/06/2023,54,M,whiskey,Facebook,66.54,Cloudy,Yes
04/06/2023,32,F,cocktail,TikTok,29.34,Sunny,Yes
05/06/2023,46,M,beer,Facebook,84.18,Cloudy,No
23/06/2023,45,M,whiskey,Facebook,57.5,Sunny,Yes
09/06/2023,43,M,whiskey,Facebook,80.77,Cloudy,Yes
06/06/2023,49,M,whiskey,Twitter,61.64,Sunny,Yes
15/06/2023,70,F,wine,Facebook,54.97,Sunny,Yes
27/06/2023,67,F,wine,Facebook,44.03,Cloudy,Yes
25/06/2023,54,F,wine,Instagram,30.46,Sunny,Yes
15/06/2023,50,M,whiskey,Twitter,79.66,Sunny,Yes
11/06/2023,43,M,whiskey,Facebook,67.34,Sunny,Yes
16/06/2023,41,M,whiskey,Facebook,67.02,Cloudy,Yes
03/06/2023,46,M,wine,Facebook,59.34,Rainy,Yes
23/06/2023,43,M,whiskey,Facebook,66.18,Sunny,Yes
21/06/2023,47,F,cocktail,Facebook,39.19,Sunny,Yes
19/06/2023,39,M,whiskey,Twitter,70.47,Cloudy,Yes
02/06/2023,44,M,whiskey,Facebook,56.03,Cloudy,Yes
04/06/2023,45,M,whiskey,Twitter,55.85,Sunny,No
11/06/2023,46,M,whiskey,Twitter,60.81,Sunny,Yes
17/06/2023,67,F,wine,Facebook,45.61,Cloudy,No
10/06/2023,52,M,wine,Facebook,90.3,Sunny,No
30/06/2023,60,F,wine,Facebook,38.33,Sunny,No
24/06/2023,48,M,whiskey,Facebook,63.29,Rainy,Yes
04/06/2023,46,M,whiskey,Facebook,70.58,Sunny,No
17/06/2023,19,F,cocktail,Twitter,26.51,Cloudy,No
17/06/2023,44,M,wine,Facebook,68.3,Cloudy,No
14/06/2023,41,M,whiskey,Facebook,51.22,Stormy,No
21/06/2023,25,M,cocktail,TikTok,30.46,Sunny,No
03/06/2023,45,M,wine,Facebook,74.17,Rainy,Yes
06/06/2023,51,M,whiskey,Facebook,79.2,Sunny,No
07/06/2023,54,M,whiskey,Facebook,77.15,Sunny,No
27/06/2023,63,F,wine,Facebook,38.17,Cloudy,No
02/06/2023,54,M,whiskey,Twitter,56.57,Cloudy,Yes
24/06/2023,52,M,whiskey,Facebook,83.84,Rainy,Yes
19/06/2023,39,M,wine,Facebook,58.92,Cloudy,Yes
24/06/2023,42,M,wine,Facebook,61.43,Rainy,No
18/06/2023,64,F,wine,Facebook,50.69,Sunny,No
23/06/2023,40,M,whiskey,Facebook,62.68,Sunny,No
19/06/2023,18,M,cocktail,TikTok,36.4,Cloudy,No
25/06/2023,44,M,whiskey,Facebook,59.31,Sunny,Yes
04/06/2023,42,M,whiskey,Facebook,71.11,Sunny,No
12/06/2023,40,M,wine,Facebook,86.78,Rainy,No
12/06/2023,41,M,whiskey,Facebook,68.41,Rainy,Yes
19/06/2023,39,M,whiskey,Facebook,94.85,Cloudy,Yes
14/06/2023,41,M,whiskey,Facebook,62.9,Stormy,Yes
06/06/2023,41,M,whiskey,Twitter,65.51,Sunny,Yes
25/06/2023,33,M,cocktail,TikTok,56.93,Sunny,Yes
15/06/2023,26,F,cocktail,TikTok,39.86,Sunny,No
24/06/2023,25,M,cocktail,TikTok,21.78,Rainy,No
25/06/2023,42,M,beer,Facebook,52.36,Sunny,Yes
25/06/2023,48,M,whiskey,Facebook,67.59,Sunny,Yes
08/06/2023,23,M,cocktail,Twitter,25.2,Cloudy,No
13/06/2023,53,M,whiskey,Facebook,64.53,Sunny,Yes
17/06/2023,50,M,wine,Facebook,77.05,Cloudy,Yes
24/06/2023,40,M,whiskey,Twitter,84.02,Rainy,Yes
22/06/2023,46,M,whiskey,Facebook,62.93,Cloudy,Yes
27/06/2023,35,M,whiskey,Facebook,79.16,Cloudy,Yes
17/06/2023,57,F,wine,Facebook,22.1,Cloudy,Yes
10/06/2023,64,F,wine,Facebook,48.33,Sunny,Yes
04/06/2023,65,F,wine,Instagram,62.83,Sunny,No
29/06/2023,18,M,cocktail,Twitter,19.46,Rainy,No
05/06/2023,70,F,wine,Facebook,49.71,Cloudy,Yes
04/06/2023,41,M,whiskey,Facebook,78.39,Sunny,Yes
04/06/2023,58,F,wine,Instagram,41.53,Sunny,Yes
24/06/2023,49,M,wine,Facebook,84.92,Rainy,No
05/06/2023,46,M,whiskey,Facebook,68.23,Cloudy,Yes
04/06/2023,18,F,cocktail,TikTok,20.9,Sunny,Yes
23/06/2023,37,M,whiskey,Facebook,75.68,Sunny,Yes
25/06/2023,70,F,wine,Facebook,48.93,Sunny,No
11/06/2023,30,M,cocktail,TikTok,20.56,Sunny,Yes
09/06/2023,44,M,whiskey,Facebook,73.25,Cloudy,Yes
17/06/2023,51,M,whiskey,Facebook,68.51,Cloudy,Yes
11/06/2023,45,M,wine,Facebook,67.04,Sunny,No
27/06/2023,46,M,whiskey,Facebook,62.46,Cloudy,Yes
18/06/2023,51,M,whiskey,Facebook,80.07,Sunny,No
07/06/2023,54,M,whiskey,Facebook,70.83,Sunny,Yes
07/06/2023,37,M,whiskey,Facebook,76.49,Sunny,Yes
17/06/2023,39,M,wine,Facebook,67.78,Cloudy,No
20/06/2023,54,M,whiskey,Facebook,58.51,Sunny,Yes
09/06/2023,58,F,cocktail,Facebook,36.03,Cloudy,No
03/06/2023,44,M,whiskey,Twitter,78.54,Rainy,Yes
29/06/2023,46,M,wine,Facebook,72.84,Rainy,No
24/06/2023,61,F,wine,Facebook,69.04,Rainy,Yes
03/06/2023,40,M,wine,Facebook,78.88,Rainy,No
04/06/2023,51,M,whiskey,Facebook,63.71,Sunny,Yes
25/06/2023,27,M,cocktail,TikTok,39.5,Sunny,No
27/06/2023,51,M,whiskey,Facebook,56.04,Cloudy,Yes
10/06/2023,48,M,whiskey,Facebook,70.76,Sunny,Yes
25/06/2023,51,M,whiskey,Facebook,49.8,Sunny,Yes
16/06/2023,46,M,whiskey,Twitter,73.38,Cloudy,Yes
26/06/2023,65,F,wine,Facebook,49.22,Rainy,No
10/06/2023,39,M,whiskey,Facebook,60.96,Sunny,Yes
05/06/2023,46,M,whiskey,Facebook,54.85,Cloudy,Yes
20/06/2023,75,F,cocktail,Facebook,61.34,Sunny,No
01/06/2023,49,M,whiskey,Facebook,53.99,Cloudy,Yes
17/06/2023,44,M,wine,Facebook,74.12,Cloudy,No
18/06/2023,50,M,whiskey,Facebook,66.56,Sunny,No
25/06/2023,47,M,whiskey,Facebook,70.35,Sunny,Yes
04/06/2023,49,M,whiskey,Instagram,69.49,Sunny,Yes
17/06/2023,44,M,whiskey,Facebook,75.77,Cloudy,Yes
03/06/2023,59,F,wine,Instagram,45.3,Rainy,No
11/06/2023,67,F,wine,Instagram,60.14,Sunny,No
20/06/2023,50,M,whiskey,Facebook,65.24,Sunny,Yes
18/06/2023,40,M,whiskey,Facebook,74.25,Sunny,No
04/06/2023,55,M,wine,Facebook,87.33,Sunny,No
11/06/2023,51,M,whiskey,Twitter,75.4,Sunny,Yes
04/06/2023,36,M,whiskey,Facebook,68.56,Sunny,Yes
08/06/2023,61,F,wine,Facebook,35.69,Cloudy,No
10/06/2023,58,F,wine,Facebook,38.18,Sunny,Yes
23/06/2023,36,M,whiskey,Facebook,69.08,Sunny,Yes
18/06/2023,40,M,whiskey,Facebook,60.84,Sunny,Yes
16/06/2023,47,M,whiskey,Facebook,58.57,Cloudy,Yes
25/06/2023,48,M,whiskey,Facebook,70.55,Sunny,Yes
04/06/2023,42,M,whiskey,Facebook,73.92,Sunny,No
19/06/2023,42,M,wine,Facebook,76.19,Cloudy,No
12/06/2023,40,M,whiskey,Twitter,64.07,Rainy,No
21/06/2023,43,M,whiskey,Facebook,85,Sunny,Yes
17/06/2023,43,M,whiskey,Facebook,64.76,Cloudy,No
25/06/2023,45,M,whiskey,Facebook,58.92,Sunny,Yes
24/06/2023,45,M,whiskey,Facebook,74.24,Rainy,Yes
23/06/2023,23,F,cocktail,TikTok,25.68,Sunny,No
15/06/2023,45,M,whiskey,Facebook,75.47,Sunny,Yes
21/06/2023,48,M,whiskey,Facebook,59.86,Sunny,No
10/06/2023,48,M,whiskey,Facebook,56.02,Sunny,Yes
04/06/2023,43,M,wine,Facebook,57.01,Sunny,No
28/06/2023,74,F,wine,Facebook,36.69,Cloudy,Yes
27/06/2023,76,F,wine,Facebook,41.15,Cloudy,No
05/06/2023,26,M,cocktail,Instagram,31.67,Cloudy,Yes
17/06/2023,67,F,cocktail,Instagram,60.02,Cloudy,No
22/06/2023,51,M,whiskey,Facebook,75.75,Cloudy,Yes
13/06/2023,57,F,cocktail,Facebook,56.3,Sunny,Yes
23/06/2023,39,M,whiskey,Facebook,90.32,Sunny,Yes
11/06/2023,34,M,whiskey,Facebook,83.21,Sunny,Yes
25/06/2023,45,M,whiskey,Facebook,72.87,Sunny,Yes
11/06/2023,67,F,wine,Facebook,55.85,Sunny,No
10/06/2023,74,F,cocktail,Facebook,67.31,Sunny,Yes
12/06/2023,46,M,whiskey,Twitter,77.09,Rainy,No
03/06/2023,44,M,beer,Facebook,78.27,Rainy,No
08/06/2023,46,M,whiskey,Facebook,59.28,Cloudy,Yes
24/06/2023,43,M,whiskey,Facebook,71.36,Rainy,Yes
25/06/2023,49,M,whiskey,Twitter,70.9,Sunny,Yes
15/06/2023,18,M,wine,TikTok,40.53,Sunny,No
28/06/2023,56,F,wine,Instagram,77.44,Cloudy,Yes
04/06/2023,67,F,wine,Facebook,44.95,Sunny,Yes
28/06/2023,45,M,whiskey,Facebook,68.49,Cloudy,Yes
19/06/2023,57,F,cocktail,Facebook,48.7,Cloudy,No
03/06/2023,51,M,whiskey,Facebook,53.95,Rainy,Yes
03/06/2023,47,M,whiskey,Facebook,66.33,Rainy,Yes
17/06/2023,45,M,whiskey,Facebook,77.71,Cloudy,No
17/06/2023,32,F,cocktail,Instagram,31.91,Cloudy,Yes
23/06/2023,45,M,whiskey,Facebook,60.14,Sunny,Yes
22/06/2023,48,M,whiskey,Facebook,74.2,Cloudy,Yes
10/06/2023,24,M,cocktail,Twitter,29.25,Sunny,No
24/06/2023,46,M,whiskey,Twitter,56.78,Rainy,Yes
04/06/2023,63,F,cocktail,Facebook,44.39,Sunny,Yes
23/06/2023,69,F,wine,Facebook,51.76,Sunny,Yes
20/06/2023,44,M,wine,Facebook,56.39,Sunny,Yes
17/06/2023,52,M,wine,Facebook,56.96,Cloudy,No
01/06/2023,47,M,whiskey,Facebook,66.97,Cloudy,Yes
01/06/2023,63,F,wine,Facebook,50.66,Cloudy,Yes
24/06/2023,31,M,beer,Twitter,15.74,Rainy,No
10/06/2023,37,M,wine,Facebook,56.48,Sunny,Yes
10/06/2023,54,M,whiskey,Facebook,65.77,Sunny,Yes
10/06/2023,51,M,whiskey,Twitter,70.74,Sunny,Yes
04/06/2023,46,M,wine,Facebook,75.46,Sunny,No
19/06/2023,47,M,whiskey,Facebook,67.89,Cloudy,Yes
10/06/2023,37,M,whiskey,Facebook,54.09,Sunny,Yes
06/06/2023,43,M,whiskey,Facebook,64.57,Sunny,Yes
04/06/2023,31,M,cocktail,Twitter,25.16,Sunny,No
13/06/2023,54,M,wine,Facebook,72.73,Sunny,Yes
05/06/2023,62,F,wine,Facebook,44.7,Cloudy,Yes
10/06/2023,62,F,wine,Facebook,41.78,Sunny,No
17/06/2023,51,M,wine,Facebook,59.63,Cloudy,Yes
27/06/2023,44,M,wine,Facebook,85.76,Cloudy,Yes
29/06/2023,62,F,wine,Facebook,60.66,Rainy,Yes
03/06/2023,45,M,whiskey,Facebook,60.85,Rainy,Yes
21/06/2023,28,M,cocktail,TikTok,30.95,Sunny,No
08/06/2023,30,M,whiskey,Facebook,76.26,Cloudy,Yes
19/06/2023,55,M,whiskey,Facebook,57.87,Cloudy,Yes
14/06/2023,41,M,whiskey,Facebook,59.42,Stormy,Yes
03/06/2023,73,F,cocktail,Instagram,44.47,Rainy,Yes
28/06/2023,56,M,whiskey,Facebook,68.06,Cloudy,Yes
11/06/2023,21,F,beer,TikTok,17.6,Sunny,No
04/06/2023,42,M,wine,Facebook,85.74,Sunny,No
25/06/2023,35,M,whiskey,Facebook,76.24,Sunny,Yes
08/06/2023,44,M,wine,Facebook,68.81,Cloudy,No
26/06/2023,47,M,whiskey,Facebook,87.76,Rainy,Yes
02/06/2023,20,F,cocktail,TikTok,25.26,Cloudy,No
02/06/2023,45,M,whiskey,Facebook,76.07,Cloudy,Yes
03/06/2023,48,M,whiskey,Facebook,77.56,Rainy,Yes
17/06/2023,47,M,wine,Facebook,68.02,Cloudy,Yes
24/06/2023,57,F,wine,Facebook,48.68,Rainy,No
18/06/2023,60,F,wine,Facebook,59.3,Sunny,Yes
24/06/2023,69,F,wine,Facebook,51.82,Rainy,Yes
18/06/2023,56,M,wine,Twitter,79.4,Sunny,Yes
25/06/2023,57,F,wine,Facebook,31.62,Sunny,Yes
27/06/2023,63,F,wine,Facebook,52.02,Cloudy,No
12/06/2023,65,F,wine,Instagram,45.82,Rainy,Yes
25/06/2023,44,M,whiskey,Facebook,64.53,Sunny,Yes
11/06/2023,43,M,whiskey,Facebook,83.79,Sunny,Yes
11/06/2023,62,F,cocktail,Facebook,46.9,Sunny,Yes
06/06/2023,28,M,cocktail,Twitter,41.44,Sunny,No
03/06/2023,49,M,whiskey,Facebook,81.35,Rainy,No
16/06/2023,44,M,whiskey,Facebook,60.58,Cloudy,Yes
18/06/2023,29,M,cocktail,TikTok,23.51,Sunny,No
03/06/2023,52,M,whiskey,Facebook,65.23,Rainy,Yes
11/06/2023,44,M,whiskey,Facebook,56.54,Sunny,Yes
10/06/2023,58,F,wine,Facebook,45.56,Sunny,No
03/06/2023,43,M,whiskey,Facebook,98.78,Rainy,Yes
17/06/2023,42,M,whiskey,Facebook,61.05,Cloudy,Yes
14/06/2023,65,F,wine,Instagram,41.76,Stormy,No
24/06/2023,55,M,whiskey,Facebook,73.53,Rainy,No
29/06/2023,43,M,whiskey,Facebook,75.86,Rainy,Yes
24/06/2023,50,M,whiskey,Facebook,63.4,Rainy,Yes
25/06/2023,44,M,whiskey,Facebook,64.66,Sunny,No
03/06/2023,41,M,whiskey,Facebook,75.17,Rainy,No
25/06/2023,49,M,wine,Facebook,77.31,Sunny,Yes
25/06/2023,65,F,wine,Instagram,63.36,Sunny,No
05/06/2023,49,M,wine,Facebook,63.33,Cloudy,Yes
12/06/2023,55,F,cocktail,Facebook,49.34,Rainy,Yes
21/06/2023,37,M,whiskey,Facebook,69.67,Sunny,Yes
08/06/2023,43,M,whiskey,Facebook,81.66,Cloudy,No
27/06/2023,39,M,whiskey,Facebook,70.44,Cloudy,Yes
10/06/2023,50,M,whiskey,Twitter,62.47,Sunny,No
11/06/2023,35,M,whiskey,Facebook,66.64,Sunny,Yes
04/06/2023,68,F,wine,Facebook,51.09,Sunny,No
18/06/2023,42,M,wine,Facebook,81.49,Sunny,No
04/06/2023,44,M,whiskey,Facebook,76.62,Sunny,Yes
03/06/2023,49,M,whiskey,Twitter,60.5,Rainy,Yes
25/06/2023,51,M,whiskey,Facebook,79.38,Sunny,No
21/06/2023,65,F,cocktail,Instagram,56.93,Sunny,Yes
24/06/2023,43,M,wine,Facebook,69.31,Rainy,No
24/06/2023,44,M,whiskey,Twitter,85,Rainy,Yes
10/06/2023,24,M,cocktail,TikTok,33.3,Sunny,No
17/06/2023,57,F,wine,Facebook,55.06,Cloudy,Yes
07/06/2023,51,M,whiskey,Facebook,85.13,Sunny,Yes
18/06/2023,36,M,wine,Facebook,74.64,Sunny,No
08/06/2023,43,M,whiskey,Facebook,65.59,Cloudy,No
01/06/2023,51,M,whiskey,Facebook,61.21,Cloudy,Yes
18/06/2023,47,M,whiskey,Facebook,78.29,Sunny,Yes
11/06/2023,25,M,wine,Twitter,26.73,Sunny,Yes
18/06/2023,48,M,whiskey,Facebook,61.35,Sunny,Yes
03/06/2023,22,F,cocktail,TikTok,26.6,Rainy,No
27/06/2023,47,M,beer,Facebook,64.19,Cloudy,Yes
20/06/2023,69,F,wine,Facebook,50.42,Sunny,Yes
01/06/2023,41,M,whiskey,Facebook,68.21,Cloudy,Yes
15/06/2023,44,M,whiskey,Facebook,71.06,Sunny,Yes
03/06/2023,50,M,wine,Facebook,60.78,Rainy,Yes
03/06/2023,55,M,whiskey,Facebook,73.23,Rainy,Yes
17/06/2023,60,F,wine,Facebook,38.7,Cloudy,Yes
08/06/2023,47,M,whiskey,Facebook,72.58,Cloudy,No
03/06/2023,56,M,wine,Facebook,55.87,Rainy,Yes
12/06/2023,25,M,cocktail,TikTok,33.07,Rainy,Yes
03/06/2023,44,M,wine,Facebook,67.39,Rainy,No
19/06/2023,64,F,wine,Facebook,32.96,Cloudy,No
04/06/2023,66,F,wine,Facebook,67.81,Sunny,No
04/06/2023,47,M,whiskey,Twitter,69.55,Sunny,Yes
09/06/2023,76,F,wine,Facebook,46.62,Cloudy,Yes
28/06/2023,49,M,wine,Facebook,54.96,Cloudy,Yes
25/06/2023,38,M,wine,Twitter,75,Sunny,No
03/06/2023,62,F,cocktail,Instagram,66.62,Rainy,Yes
10/06/2023,26,F,cocktail,TikTok,34.24,Sunny,Yes
10/06/2023,24,F,cocktail,Instagram,8.31,Sunny,No
10/06/2023,46,M,whiskey,Facebook,84.17,Sunny,Yes
25/06/2023,30,M,cocktail,TikTok,28.44,Sunny,No
17/06/2023,45,M,whiskey,Twitter,80.46,Cloudy,Yes
02/06/2023,47,M,whiskey,Facebook,61.32,Cloudy,Yes
16/06/2023,55,M,whiskey,Facebook,75.96,Cloudy,Yes
24/06/2023,43,M,whiskey,Facebook,66.29,Rainy,Yes
17/06/2023,60,F,cocktail,Facebook,49.66,Cloudy,Yes
24/06/2023,39,M,whiskey,Facebook,67.76,Rainy,Yes
02/06/2023,34,M,cocktail,TikTok,33.2,Cloudy,Yes
13/06/2023,57,M,whiskey,Facebook,67.88,Sunny,Yes
19/06/2023,49,M,whiskey,Facebook,71.42,Cloudy,Yes
28/06/2023,25,M,beer,TikTok,32.69,Cloudy,No
30/06/2023,42,M,wine,Facebook,62.71,Sunny,No
20/06/2023,23,M,cocktail,Facebook,40.37,Sunny,No
28/06/2023,48,M,whiskey,Facebook,69.05,Cloudy,Yes
04/06/2023,46,M,wine,Facebook,58.74,Sunny,Yes
03/06/2023,54,M,wine,Facebook,63.55,Rainy,Yes
13/06/2023,46,M,wine,Facebook,74.37,Sunny,Yes
18/06/2023,71,F,wine,Instagram,52.43,Sunny,Yes
08/06/2023,63,F,wine,Instagram,49.83,Cloudy,Yes
17/06/2023,30,M,beer,TikTok,47.28,Cloudy,No
11/06/2023,41,M,cocktail,Twitter,32.9,Sunny,No
18/06/2023,57,F,cocktail,Facebook,49.79,Sunny,Yes
21/06/2023,62,F,wine,Facebook,53.21,Sunny,No
04/06/2023,43,M,whiskey,Facebook,89.66,Sunny,No
26/06/2023,54,M,wine,Facebook,59.13,Rainy,Yes
04/06/2023,42,M,wine,Facebook,76.51,Sunny,No
07/06/2023,20,M,cocktail,Twitter,19.02,Sunny,Yes
04/06/2023,18,F,cocktail,Twitter,19.11,Sunny,No
24/06/2023,45,M,whiskey,Twitter,58.91,Rainy,Yes
09/06/2023,42,M,whiskey,Facebook,68.79,Cloudy,Yes
18/06/2023,46,M,whiskey,Twitter,64.31,Sunny,Yes
02/06/2023,40,M,whiskey,Facebook,66.28,Cloudy,Yes
24/06/2023,27,M,cocktail,TikTok,34.78,Rainy,Yes
04/06/2023,51,M,whiskey,Facebook,59.92,Sunny,Yes
26/06/2023,42,M,whiskey,Facebook,70.7,Rainy,Yes
18/06/2023,65,F,wine,Instagram,63.89,Sunny,Yes
17/06/2023,50,M,whiskey,Facebook,59.73,Cloudy,Yes
04/06/2023,43,M,wine,Facebook,67.03,Sunny,Yes
10/06/2023,44,M,whiskey,Facebook,73.97,Sunny,Yes
04/06/2023,38,M,wine,Facebook,79.72,Sunny,No
12/06/2023,43,M,whiskey,Facebook,78.16,Rainy,No
18/06/2023,48,M,whiskey,Facebook,72.25,Sunny,Yes
05/06/2023,40,M,wine,Facebook,80.59,Cloudy,No
12/06/2023,44,M,whiskey,Facebook,59.06,Rainy,Yes
04/06/2023,25,F,beer,TikTok,18.57,Sunny,No
18/06/2023,26,M,wine,Twitter,26.03,Sunny,No
30/06/2023,42,M,whiskey,Facebook,70.67,Sunny,Yes
04/06/2023,46,M,whiskey,Twitter,75.07,Sunny,Yes
11/06/2023,62,F,wine,Facebook,61.38,Sunny,Yes
11/06/2023,61,F,wine,Facebook,62.46,Sunny,No
22/06/2023,67,F,wine,Facebook,54,Cloudy,Yes
09/06/2023,45,M,whiskey,Twitter,66.99,Cloudy,Yes
11/06/2023,71,F,cocktail,Facebook,45.43,Sunny,No
24/06/2023,48,M,wine,Facebook,73.49,Rainy,No
08/06/2023,37,M,whiskey,Facebook,62.11,Cloudy,Yes
16/06/2023,47,M,wine,Facebook,72.03,Cloudy,Yes
24/06/2023,42,M,wine,Facebook,74.21,Rainy,Yes
17/06/2023,50,M,whiskey,Facebook,67.34,Cloudy,No
09/06/2023,43,M,whiskey,Facebook,59.6,Cloudy,Yes
18/06/2023,46,M,wine,Facebook,72.42,Sunny,Yes
16/06/2023,33,M,cocktail,TikTok,37.11,Cloudy,No
14/06/2023,50,M,whiskey,Twitter,65.44,Stormy,Yes
11/06/2023,48,M,whiskey,Facebook,74.28,Sunny,No
06/06/2023,43,M,whiskey,Facebook,67,Sunny,Yes
06/06/2023,43,M,wine,Facebook,52.66,Sunny,No
06/06/2023,67,F,wine,Facebook,47.84,Sunny,No
24/06/2023,49,M,whiskey,Facebook,61.48,Rainy,Yes
11/06/2023,53,M,whiskey,Facebook,58.72,Sunny,Yes
10/06/2023,41,M,wine,Facebook,65.55,Sunny,No
04/06/2023,43,M,wine,Facebook,77.38,Sunny,No
10/06/2023,61,F,wine,Facebook,52.15,Sunny,No
02/06/2023,42,M,whiskey,Facebook,45.59,Cloudy,Yes
25/06/2023,62,F,cocktail,Instagram,68.64,Sunny,Yes
25/06/2023,46,M,whiskey,Twitter,75.7,Sunny,Yes
26/06/2023,54,F,wine,Facebook,62.75,Rainy,Yes
18/06/2023,37,M,whiskey,Facebook,77.77,Sunny,No
29/06/2023,66,F,cocktail,Instagram,50.56,Rainy,No
11/06/2023,70,F,cocktail,Facebook,45.72,Sunny,Yes
10/06/2023,40,M,whiskey,Facebook,69.52,Sunny,Yes
11/06/2023,47,M,whiskey,Facebook,73.81,Sunny,Yes
10/06/2023,37,M,beer,Twitter,65.18,Sunny,No
08/06/2023,63,F,wine,Facebook,51.7,Cloudy,Yes
19/06/2023,41,M,beer,Facebook,62.62,Cloudy,No
